date;hour;sub_rf_id;Pren
18.11.2020 0:00:00;23;14;0
18.11.2020 0:00:00;0;15;0
18.11.2020 0:00:00;1;15;0
18.11.2020 0:00:00;2;15;0
18.11.2020 0:00:00;3;15;0
18.11.2020 0:00:00;4;15;0
18.11.2020 0:00:00;5;15;0
18.11.2020 0:00:00;6;15;0
18.11.2020 0:00:00;7;15;0
18.11.2020 0:00:00;8;15;0
18.11.2020 0:00:00;9;15;0
18.11.2020 0:00:00;10;15;0
18.11.2020 0:00:00;11;15;0
18.11.2020 0:00:00;12;15;0
18.11.2020 0:00:00;13;15;0
18.11.2020 0:00:00;14;15;0
18.11.2020 0:00:00;15;15;0
18.11.2020 0:00:00;16;15;0
18.11.2020 0:00:00;17;15;0
18.11.2020 0:00:00;18;15;0
18.11.2020 0:00:00;19;15;0
18.11.2020 0:00:00;20;15;0
18.11.2020 0:00:00;21;15;0
18.11.2020 0:00:00;22;15;0
18.11.2020 0:00:00;23;15;0
18.11.2020 0:00:00;0;17;0
18.11.2020 0:00:00;1;17;0
18.11.2020 0:00:00;2;17;0
18.11.2020 0:00:00;3;17;0
18.11.2020 0:00:00;4;17;0
18.11.2020 0:00:00;5;17;0
18.11.2020 0:00:00;6;17;0
18.11.2020 0:00:00;7;17;0
18.11.2020 0:00:00;8;17;0
18.11.2020 0:00:00;9;17;0
18.11.2020 0:00:00;10;17;0
18.11.2020 0:00:00;11;17;0
18.11.2020 0:00:00;12;17;0
18.11.2020 0:00:00;13;17;0
18.11.2020 0:00:00;14;17;0
18.11.2020 0:00:00;15;17;0
18.11.2020 0:00:00;16;17;0
18.11.2020 0:00:00;17;17;0
18.11.2020 0:00:00;18;17;0
18.11.2020 0:00:00;19;17;0
18.11.2020 0:00:00;20;17;0
18.11.2020 0:00:00;21;17;0
18.11.2020 0:00:00;22;17;0
18.11.2020 0:00:00;23;17;0
18.11.2020 0:00:00;0;18;0
18.11.2020 0:00:00;1;18;0
18.11.2020 0:00:00;2;18;0
18.11.2020 0:00:00;3;18;0
18.11.2020 0:00:00;4;18;0
18.11.2020 0:00:00;5;18;0
18.11.2020 0:00:00;6;18;0
18.11.2020 0:00:00;7;18;0
18.11.2020 0:00:00;8;18;0
