date;hour;sub_rf_id;Ptes
27.11.2020 0:00:00;23;12;449.440268008138
27.11.2020 0:00:00;0;14;76.5
27.11.2020 0:00:00;1;14;76.5
27.11.2020 0:00:00;2;14;76.5
27.11.2020 0:00:00;3;14;76.5
27.11.2020 0:00:00;4;14;76.5
27.11.2020 0:00:00;5;14;76.5
27.11.2020 0:00:00;6;14;76.5
27.11.2020 0:00:00;7;14;120.5
27.11.2020 0:00:00;8;14;120.5
27.11.2020 0:00:00;9;14;125.499998000002
27.11.2020 0:00:00;10;14;120.5
27.11.2020 0:00:00;11;14;125.499998000002
27.11.2020 0:00:00;12;14;125.499998000002
27.11.2020 0:00:00;13;14;125.499998000002
27.11.2020 0:00:00;14;14;120.5
27.11.2020 0:00:00;15;14;120.5
27.11.2020 0:00:00;16;14;120.5
27.11.2020 0:00:00;17;14;120.5
27.11.2020 0:00:00;18;14;120.5
27.11.2020 0:00:00;19;14;120.5
27.11.2020 0:00:00;20;14;120.5
27.11.2020 0:00:00;21;14;120.5
27.11.2020 0:00:00;22;14;120.5
27.11.2020 0:00:00;23;14;120.5
27.11.2020 0:00:00;0;15;2.8
27.11.2020 0:00:00;1;15;2.8
27.11.2020 0:00:00;2;15;2.8
27.11.2020 0:00:00;3;15;2.8
27.11.2020 0:00:00;4;15;2.8
27.11.2020 0:00:00;5;15;2.8
27.11.2020 0:00:00;6;15;9
27.11.2020 0:00:00;7;15;9
27.11.2020 0:00:00;8;15;9
27.11.2020 0:00:00;9;15;9
27.11.2020 0:00:00;10;15;9
27.11.2020 0:00:00;11;15;9
27.11.2020 0:00:00;12;15;9
27.11.2020 0:00:00;13;15;9
27.11.2020 0:00:00;14;15;9
27.11.2020 0:00:00;15;15;9
27.11.2020 0:00:00;16;15;9
27.11.2020 0:00:00;17;15;9
27.11.2020 0:00:00;18;15;9
27.11.2020 0:00:00;19;15;9
27.11.2020 0:00:00;20;15;9
27.11.2020 0:00:00;21;15;2.8
27.11.2020 0:00:00;22;15;2.8
27.11.2020 0:00:00;23;15;2.8
27.11.2020 0:00:00;0;17;182
27.11.2020 0:00:00;1;17;182
27.11.2020 0:00:00;2;17;182
27.11.2020 0:00:00;3;17;182
27.11.2020 0:00:00;4;17;182
27.11.2020 0:00:00;5;17;182
27.11.2020 0:00:00;6;17;182
27.11.2020 0:00:00;7;17;182
27.11.2020 0:00:00;8;17;182
27.11.2020 0:00:00;9;17;182
27.11.2020 0:00:00;10;17;182
27.11.2020 0:00:00;11;17;182
27.11.2020 0:00:00;12;17;182
27.11.2020 0:00:00;13;17;182
27.11.2020 0:00:00;14;17;182
27.11.2020 0:00:00;15;17;182
27.11.2020 0:00:00;16;17;182
27.11.2020 0:00:00;17;17;182
27.11.2020 0:00:00;18;17;182
27.11.2020 0:00:00;19;17;182
27.11.2020 0:00:00;20;17;182
27.11.2020 0:00:00;21;17;182
27.11.2020 0:00:00;22;17;182
27.11.2020 0:00:00;23;17;182
27.11.2020 0:00:00;0;18;536.2
27.11.2020 0:00:00;1;18;536.2
27.11.2020 0:00:00;2;18;536.2
27.11.2020 0:00:00;3;18;536.2
27.11.2020 0:00:00;4;18;558.200000000001
27.11.2020 0:00:00;5;18;536.2
27.11.2020 0:00:00;6;18;536.2
27.11.2020 0:00:00;7;18;563.200000000001
27.11.2020 0:00:00;8;18;558.200000000001
27.11.2020 0:00:00;9;18;561.052001000001
27.11.2020 0:00:00;10;18;559.815000000001
27.11.2020 0:00:00;11;18;562.283001000001
27.11.2020 0:00:00;12;18;562.360001000001
27.11.2020 0:00:00;13;18;562.168001000001
27.11.2020 0:00:00;14;18;559.371000000001
27.11.2020 0:00:00;15;18;558.200000000001
27.11.2020 0:00:00;16;18;558.200000000001
27.11.2020 0:00:00;17;18;558.200000000001
27.11.2020 0:00:00;18;18;558.200000000001
27.11.2020 0:00:00;19;18;558.200000000001
27.11.2020 0:00:00;20;18;536.2
27.11.2020 0:00:00;21;18;536.2
27.11.2020 0:00:00;22;18;536.2
27.11.2020 0:00:00;23;18;536.2
27.11.2020 0:00:00;0;19;1388.362001
27.11.2020 0:00:00;1;19;1193.362
27.11.2020 0:00:00;2;19;1138.311999
27.11.2020 0:00:00;3;19;1138.311999
27.11.2020 0:00:00;4;19;1138.311999
27.11.2020 0:00:00;5;19;1388.362001
27.11.2020 0:00:00;6;19;1388.362001
27.11.2020 0:00:00;7;19;1473.362003
27.11.2020 0:00:00;8;19;1473.362002
27.11.2020 0:00:00;9;19;1488.900003
27.11.2020 0:00:00;10;19;1484.767003
27.11.2020 0:00:00;11;19;1488.900003
27.11.2020 0:00:00;12;19;1488.900003
27.11.2020 0:00:00;13;19;1488.900003
27.11.2020 0:00:00;14;19;1473.362002
27.11.2020 0:00:00;15;19;1473.362002
27.11.2020 0:00:00;16;19;1473.362002
27.11.2020 0:00:00;17;19;1473.362002
27.11.2020 0:00:00;18;19;1473.362002
27.11.2020 0:00:00;19;19;1473.362002
27.11.2020 0:00:00;20;19;1473.362002
27.11.2020 0:00:00;21;19;1388.362001
27.11.2020 0:00:00;22;19;1388.362001
27.11.2020 0:00:00;23;19;1388.362001
27.11.2020 0:00:00;0;20;281.168
27.11.2020 0:00:00;1;20;281.168
27.11.2020 0:00:00;2;20;281.168
27.11.2020 0:00:00;3;20;281.168
27.11.2020 0:00:00;4;20;281.168
